,latitude,longitude
Гомельский,52.2527,31.0048
Брестский,52.0655,23.394
Молодечненский,54.1849,26.5106
Гродненский,53.4,23.49
Бобруйский,53.06,29.13
Речицкий,52.215,30.2341
Докшицкий,54.53,27.46
Логойский,54.12,27.51
Минский,53.54,27.34
Воложинский,54.05,26.31
Смолевичский,54.0122,28.0419
Пуховичский,53.31,28.083
Дзержинский,53.41,27.08
Витебский,55.11,30.1
Кобринский,52.1246,24.2218
Шкловский,54.123,30.1713
Жабинковский,52.1206,24.0118
Узденский,53.2758,27.1328
Борисовский,54.14,28.3
Чаусский,53.48,30.58
Лидский,53.5314,25.181
Малоритский,51.4736,24.0413
Крупский,54.193,29.081
Вилейский,54.29,26.55
Добрушский,52.25,31.19
Ляховичский,53.022,26.1559
Пинский,52.073,26.0509
Столбцовский,53.29,26.44
Полоцкий,55.28,28.48
Оршанский,54.3,30.24
Волковысский,53.1,24.28
Дрогичинский,52.1127,25.0852
Барановичский,53.074,25.5843
Березинский,53.5,28.59
Солигорский,52.49,27.32
Березовский,52.3158,24.5839
Мядельский,54.5232,26.5619
Белыничский,53.5944,29.4234
Могилевский,53.55,30.21
Каменецкий,52.232,23.4846
Сморгонский,54.2901,26.24
Слуцкий,53.01,27.33
Осиповичский,53.18,28.39
Лепельский,54.523,28.414
Браславский,55.3836,27.0341
Мозырский,52.03,29.14
Кировский,53.1607,29.2825
Ганцевичский,52.453,26.2553
Рогачевский,53.06,30.03
Городокский,55.28,29.59
Червенский,53.4228,28.2556
Клецкий,53.0349,26.3814
Любанский,52.4655,28.0309
Круглянский,54.1453,29.4748
Лоевский,51.56,30.4804
Копыльский,53.09,27.053
Жлобинский,52.54,30.02
Глубокский,55.08,27.41
Быховский,53.3134,30.1409
Светлогорский,52.38,29.44
Шарковщинский,55.22,27.28
Верхнедвинский,55.46,27.56
Поставский,55.07,26.5
Миорский,55.37,27.37
Ивьевский,53.55,25.46
Стародорожский,53.0222,28.1554
Ошмянский,54.1729,26.0243
Слонимский,53.05,25.19
Костюковичский,53.202,32.0246
Лиозненский,55.01,30.48
Сенненский,54.48,29.42
Несвижский,53.13,26.4
Житковичский,52.1302,27.5117
Россонский,55.5415,28.4853
БудаКошелевский,52.43,30.34
Берестовицкий,53.1144,24.0115
Кореличский,53.34,26.08
Бешенковичский,55.02,29.27
Ушачский,55.11,28.37
Лунинецкий,52.1507,26.4732
Чашникский,54.5112,29.0953
Шумилинский,55.2132,29.2645
Ветковский,52.41,31.1332
Толочинский,54.25,29.42
Мстиславский,54.01,31.43
Ивацевичский,52.4247,25.2034
Вороновский,54.09,25.19
Ивановский,52.0858,25.3206
Дятловский,53.27,25.24
Лельчицкий,51.4709,28.1929
Новогрудский,53.35,25.49
