,district_center_coordinates,district_city_coordinates
Гомельский,"(52.2527, 31.0048)","(52.263, 31.0)"
Брестский,"(52.0655, 23.394)","(52.0529, 23.4024)"
Молодечненский,"(54.1849, 26.5106)","(54.1849, 26.5106)"
Гродненский,"(53.4, 23.49)","(53.4, 23.49)"
Бобруйский,"(53.06, 29.13)","(53.06, 29.13)"
Речицкий,"(52.215, 30.2341)","(52.215, 30.2341)"
Докшицкий,"(54.53, 27.46)","(54.53, 27.46)"
Логойский,"(54.12, 27.51)","(54.12, 27.51)"
Минский,"(53.54, 27.34)","(53.55, 27.33)"
Воложинский,"(54.05, 26.31)","(54.05, 26.31)"
Смолевичский,"(54.0122, 28.0419)","(54.0122, 28.0419)"
Пуховичский,"(53.31, 28.083)","(53.31, 28.083)"
Дзержинский,"(53.41, 27.08)","(53.41, 27.08)"
Витебский,"(55.11, 30.1)","(55.11, 30.1)"
Кобринский,"(52.1246, 24.2218)","(52.12, 24.21)"
Шкловский,"(54.123, 30.1713)","(54.123, 30.1713)"
Жабинковский,"(52.1206, 24.0118)","(52.1202, 24.0124)"
Узденский,"(53.2758, 27.1328)","(53.2758, 27.1328)"
Борисовский,"(54.14, 28.3)","(54.14, 28.3)"
Чаусский,"(53.48, 30.58)","(53.48, 30.58)"
Лидский,"(53.5314, 25.181)","(53.5314, 25.181)"
Малоритский,"(51.4736, 24.0413)","(51.475, 24.0451)"
Крупский,"(54.193, 29.081)","(54.193, 29.081)"
Вилейский,"(54.29, 26.55)","(54.29, 26.55)"
Добрушский,"(52.25, 31.19)","(52.25, 31.19)"
Ляховичский,"(53.022, 26.1559)","(53.02, 26.16)"
Пинский,"(52.073, 26.0509)","(52.07, 26.05)"
Столбцовский,"(53.29, 26.44)","(53.29, 26.44)"
Полоцкий,"(55.28, 28.48)","(55.29, 28.48)"
Оршанский,"(54.3, 30.24)","(54.3, 30.24)"
Волковысский,"(53.1, 24.28)","(53.1, 24.28)"
Дрогичинский,"(52.1127, 25.0852)","(52.11, 25.09)"
Барановичский,"(53.074, 25.5843)","(53.07, 25.59)"
Березинский,"(53.5, 28.59)","(53.5, 28.59)"
Солигорский,"(52.49, 27.32)","(52.4705, 27.3206)"
Березовский,"(52.3158, 24.5839)","(52.33, 24.58)"
Мядельский,"(54.5232, 26.5619)","(54.523, 26.56)"
Белыничский,"(53.5944, 29.4234)","(53.5944, 29.4234)"
Могилевский,"(53.55, 30.21)","(53.55, 30.21)"
Каменецкий,"(52.232, 23.4846)","(52.24, 23.48)"
Сморгонский,"(54.2901, 26.24)","(54.2901, 26.24)"
Слуцкий,"(53.01, 27.33)","(53.01, 27.33)"
Осиповичский,"(53.18, 28.39)","(53.18, 28.39)"
Лепельский,"(54.523, 28.414)","(54.523, 28.414)"
Браславский,"(55.3836, 27.0341)","(55.383, 27.02)"
Мозырский,"(52.03, 29.14)","(52.03, 29.14)"
Кировский,"(53.1607, 29.2825)","(53.1607, 29.2825)"
Ганцевичский,"(52.453, 26.2553)","(52.4542, 26.254)"
Рогачевский,"(53.06, 30.03)","(53.06, 30.03)"
Городокский,"(55.28, 29.59)","(55.28, 29.59)"
Червенский,"(53.4228, 28.2556)","(53.4228, 28.2556)"
Клецкий,"(53.0349, 26.3814)","(53.0349, 26.3814)"
Любанский,"(52.4655, 28.0309)","(52.4756, 27.5948)"
Круглянский,"(54.1453, 29.4748)","(54.1452, 29.4747)"
Лоевский,"(51.56, 30.4804)","(51.56, 30.4804)"
Копыльский,"(53.09, 27.053)","(53.09, 27.053)"
Жлобинский,"(52.54, 30.02)","(52.54, 30.02)"
Глубокский,"(55.08, 27.41)","(55.08, 27.41)"
Быховский,"(53.3134, 30.1409)","(53.3134, 30.1409)"
Светлогорский,"(52.38, 29.44)","(52.38, 29.44)"
Шарковщинский,"(55.22, 27.28)","(55.22, 27.28)"
Верхнедвинский,"(55.46, 27.56)","(55.46, 27.56)"
Поставский,"(55.07, 26.5)","(55.07, 26.5)"
Миорский,"(55.37, 27.37)","(55.37, 27.37)"
Ивьевский,"(53.55, 25.46)","(53.55, 25.46)"
Стародорожский,"(53.0222, 28.1554)","(53.0222, 28.1554)"
Слонимский,"(53.05, 25.19)","(53.05, 25.19)"
Костюковичский,"(53.202, 32.0246)","(53.202, 32.0246)"
Лиозненский,"(55.01, 30.48)","(55.01, 30.48)"
Сенненский,"(54.48, 29.42)","(54.48, 29.42)"
Несвижский,"(53.13, 26.4)","(53.13, 26.4)"
Житковичский,"(52.1302, 27.5117)","(52.1301, 27.5116)"
Россонский,"(55.5415, 28.4853)","(55.5415, 28.4853)"
БудаКошелевский,"(52.43, 30.34)","(52.43, 30.34)"
Берестовицкий,"(53.1144, 24.0115)","(53.1144, 24.0115)"
Кореличский,"(53.34, 26.08)","(53.34, 26.08)"
Бешенковичский,"(55.02, 29.27)","(55.02, 29.27)"
Ушачский,"(55.11, 28.37)","(55.11, 28.37)"
Лунинецкий,"(52.1507, 26.4732)","(52.15, 26.48)"
Чашникский,"(54.5112, 29.0953)","(54.5112, 29.0953)"
Шумилинский,"(55.2132, 29.2645)","(55.18, 29.36)"
Ветковский,"(52.41, 31.1332)","(52.3333, 31.1051)"
Толочинский,"(54.25, 29.42)","(54.25, 29.42)"
Ошмянский,"(54.1729, 26.0243)","(54.25, 25.55)"
Мстиславский,"(54.01, 31.43)","(54.01, 31.43)"
Ивацевичский,"(52.4247, 25.2034)","(52.4233, 25.202)"
Вороновский,"(54.09, 25.19)","(54.09, 25.19)"
Ивановский,"(52.0858, 25.3206)","(52.08, 25.33)"
Дятловский,"(53.27, 25.24)","(53.27, 25.24)"
Лельчицкий,"(51.4709, 28.1929)","(51.4709, 28.1929)"
Новогрудский,"(53.35, 25.49)","(53.35, 25.49)"
Свислочский,"(53.02, 24.06)","(53.02, 24.06)"
Щучинский,"(53.3337, 24.5211)","(53.37, 24.44)"
Островецкий,"(54.3649, 25.5719)","(54.3649, 25.5719)"
Кричевский,"(53.431, 31.425)","(53.431, 31.425)"
Петриковский,"(52.15, 28.3)","(52.08, 28.3)"
Калинковичский,"(52.08, 29.2)","(52.08, 29.2)"
Брагинский,"(51.47, 30.16)","(51.47, 30.16)"
Кормянский,"(53.0745, 30.4838)","(53.0745, 30.4838)"
Мостовский,"(53.24, 24.32)","(53.24, 24.32)"
Чечерский,"(52.55, 30.55)","(52.55, 30.55)"
Ельский,"(51.49, 29.09)","(51.49, 29.09)"
Дубровенский,"(54.34, 30.41)","(54.34, 30.41)"
Горецкий,"(54.17, 30.59)","(54.17, 30.59)"
Пружанский,"(52.3332, 24.2809)","(52.3324, 24.2752)"
Кличевский,"(53.2858, 29.2028)","(53.2858, 29.2028)"
Столинский,"(51.5401, 26.5122)","(51.53, 26.51)"
Зельвенский,"(53.09, 24.49)","(53.09, 24.49)"
Глусский,"(52.5328, 28.4119)","(52.5328, 28.4119)"
Хойникский,"(51.54, 29.58)","(51.54, 29.58)"
Октябрьский,"(52.3835, 28.5256)","(52.3835, 28.5256)"
Климовичский,"(53.37, 31.57)","(53.37, 31.57)"
Дрибинский,"(54.071, 31.0535)","(54.071, 31.0535)"
Краснопольский,"(53.2, 31.2408)","(53.2, 31.2408)"
Чериковский,"(53.34, 31.22)","(53.34, 31.22)"
Наровлянский,"(51.48, 29.3)","(51.48, 29.3)"
Хотимский,"(53.243, 32.342)","(53.243, 32.342)"
